iter	Passed	Remaining
830	11105	2258
831	11122	2245
832	11135	2232
833	11153	2219
834	11172	2207
835	11187	2194
836	11199	2180
837	11214	2168
838	11222	2153
839	11236	2140
840	11250	2127
841	11260	2113
842	11271	2099
843	11283	2085
844	11297	2072
845	11311	2059
846	11323	2045
847	11335	2031
848	11351	2018
849	11362	2005
850	11376	1991
851	11389	1978
852	11400	1964
853	11411	1950
854	11421	1937
855	11432	1923
856	11444	1909
857	11456	1896
858	11469	1882
859	11481	1869
860	11496	1855
861	11508	1842
862	11520	1828
863	11530	1815
864	11543	1801
865	11555	1787
866	11565	1774
867	11576	1760
868	11599	1748
869	11613	1735
870	11629	1722
871	11644	1709
872	11655	1695
873	11668	1682
874	11684	1669
875	11695	1655
876	11705	1641
877	11718	1628
878	11731	1614
879	11744	1601
880	11756	1588
881	11768	1574
882	11782	1561
883	11799	1548
884	11819	1535
885	11831	1522
886	11842	1508
887	11853	1495
888	11866	1481
889	11879	1468
890	11892	1454
891	11904	1441
892	11913	1427
893	11929	1414
894	11940	1400
895	11951	1387
896	11964	1373
897	11976	1360
898	11987	1346
899	11998	1333
900	12008	1319
901	12023	1306
902	12034	1292
903	12045	1279
904	12054	1265
905	12067	1252
906	12078	1238
907	12089	1224
908	12101	1211
909	12117	1198
910	12121	1184
911	12130	1170
912	12142	1157
913	12154	1143
914	12162	1129
915	12166	1115
916	12171	1101
917	12175	1087
918	12180	1073
919	12185	1059
920	12190	1045
921	12194	1031
922	12199	1017
923	12204	1003
924	12208	989
925	12214	976
926	12218	962
927	12223	948
928	12227	934
929	12232	920
930	12236	906
931	12241	893
932	12245	879
933	12250	865
934	12254	851
935	12258	838
936	12263	824
937	12268	810
938	12272	797
939	12276	783
940	12280	770
941	12285	756
942	12290	742
943	12294	729
944	12299	715
945	12302	702
946	12307	688
947	12311	675
948	12316	661
949	12320	648
950	12325	635
951	12330	621
952	12335	608
953	12339	594
954	12343	581
955	12347	568
956	12353	555
957	12357	541
958	12362	528
959	12366	515
960	12371	502
961	12375	488
962	12380	475
963	12384	462
964	12390	449
965	12394	436
966	12399	423
967	12403	410
968	12408	396
969	12414	383
970	12418	370
971	12423	357
972	12427	344
973	12432	331
974	12436	318
975	12441	305
976	12446	293
977	12450	280
978	12454	267
979	12459	254
980	12463	241
981	12468	228
982	12472	215
983	12477	202
984	12481	190
985	12486	177
986	12491	164
987	12496	151
988	12500	139
989	12505	126
990	12511	113
991	12516	100
992	12521	88
993	12525	75
994	12531	62
995	12535	50
996	12540	37
997	12545	25
998	12549	12
999	12554	0
